0,0,0
0.277685,0.318232,0.176733
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.28911,1.25866,1.51967
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.308481,0.330856,0.0911679
0,0,0
0,0,0
0.313739,0.311674,0.376064
0,0,0
0.710654,0.780282,0.93041
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.311681,0.302451,0.554368
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.343308,0.329863,0.220552
0,0,0
0.0862197,0.103738,0.0363891
0,0,0
0,0,0
0.254536,0.248625,0.374872
0,0,0
0,0,0
0,0,0
0,0,0
0.0160373,0.0183581,0.00686428
0.291261,0.29156,0.318252
0,0,0
0.242767,0.26003,0.260757
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.325112,0.311556,0.248755
0,0,0
1.07708,1.28579,0.584133
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.276916,0.272211,0.136275
0,0,0
0,0,0
0.890349,0.874894,1.13644
0,0,0
0,0,0
0,0,0
0,0,0
1.86268,1.81545,3.13178
0,0,0
3.12891,3.02632,5.574
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.36565,0.350218,0.256422
0,0,0
0,0,0
0,0,0
0,0,0
2.09361,2.20223,1.3827
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.1797,1.38823,0.497237
0,0,0
0,0,0
0.366135,0.35725,0.198637
0,0,0
0.231608,0.221639,0.199927
0,0,0
0,0,0
0,0,0
0,0,0
0.309072,0.315279,0.383687
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.28086,0.301922,0.289001
0,0,0
0,0,0
0,0,0
0,0,0
0.366122,0.355137,0.217764
0,0,0
0,0,0
0,0,0
0.314994,0.301901,0.2412
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.270577,0.25064,0.154338
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.370146,0.355951,0.353855
0,0,0
0,0,0
0,0,0
0,0,0
1.16069,1.12055,2.05959
0,0,0
0,0,0
0,0,0
0,0,0
0.914628,0.957704,1.35335
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.248537,0.276153,0.07275
0,0,0
0,0,0
0.278858,0.305662,0.240261
0.0140033,0.0157813,0.00443857
0,0,0
0.523857,0.518324,0.889759
0,0,0
0.367791,0.358888,0.199583
0,0,0
0,0,0
